C0392680;shortness of breath
C0012833;dizziness
C0004093;asthenia
C0085639;fall
C0039070;syncope
C0042571;vertigo
C0038990;sweat
C0700590;sweating increased
C0030252;palpitation
C0027497;nausea
C0002962;angina pectoris
C0438716;pressure chest
C0032617;polyuria
C0085602;polydypsia
C0008031;pain chest
C0085619;orthopnea
C0034642;rale
C0241526;unresponsiveness
C0856054;mental status changes
C0042963;vomiting
C0553668;labored breathing
C0424000;feeling suicidal
C0438696;suicidal
C0233762;hallucinations auditory
C0150041;feeling hopeless
C0424109;weepiness
C0917801;sleeplessness
C0424230;motor retardation
C0022107;irritable mood
C0312422;blackout
C0344315;mood depressed
C0233763;hallucinations visual
C0233481;worry
C0085631;agitation
C0040822;tremor
C0728899;intoxication
C0424068;verbal auditory hallucinations
C0455769;energy increased
C1299586;difficulty
C0028084;nightmare
C0235198;unable to concentrate
C0237154;homelessness
C0086439;hypokinesia
C0231807;dyspnea on exertion
C0232292;chest tightness
C0010200;cough
C0015967;fever
C0029053;decreased translucency
C0239134;productive cough
C0008033;pleuritic pain
C0457096;yellow sputum
C0238844;breath sounds decreased
C0085593;chill
C0035508;rhonchus
C0457097;green sputum
C0850149;non-productive cough
C0043144;wheezing
C0019079;haemoptysis
C0476273;distress respiratory
C0231835;tachypnea
C0231218;malaise
C0028081;night sweat
C0240100;jugular venous distention
C0013404;dyspnea
C0013362;dysarthria
C0234518;speech slurred
C0427055;facial paresis
C0018991;hemiplegia
C0036572;seizure
C0028643;numbness
C0436331;symptom aggravating factors
C0520886;st segment elevation
C0520887;st segment depression
C0520888;t wave inverted
C1305739;presence of q wave
C0235710;chest discomfort
C0428977;bradycardia
C0030193;pain
C0337672;nonsmoker
C0041834;erythema
C0019214;hepatosplenomegaly
C0033774;pruritus
C0011991;diarrhea
C0549483;abscess bacterial
C0038999;swelling
C0277797;apyrexial
C0013428;dysuria
C0018965;hematuria
C0235634;renal angle tenderness
C0023380;lethargy
C0020625;hyponatremia
C0578150;hemodynamically stable
C0241705;difficulty passing urine
C0239110;consciousness clear
C0744492;guaiac positive
C0746619;monoclonal
C0013491;ecchymosis
C1269955;tumor cell invasion
C0019080;haemorrhage
C0030232;pallor
C0015672;fatigue
C0744740;heme positive
C0004604;pain back
C0149746;orthostasis
C0003862;arthralgia
C1096646;transaminitis
C0241235;sputum purulent
C0700292;hypoxemia
C0020440;hypercapnia
C0376405;patient non compliance
C0041657;unconscious state
C0425251;bedridden
C0741453;confined to bed (by illness)
C0232498;abdominal tenderness
C1273573;unsteady gait
C0020461;hyperkalemia
C0085606;urgency of micturition
C0003962;ascites
C0020649;hypotension
C0014394;enuresis
C0232766;asterixis
C0231530;muscle twitch
C0234450;sleepy
C0018681;headache
C0220870;lightheadedness
C0149696;food intolerance
C0239832;numbness of hand
C0858924;general discomfort
C0013144;drowsiness
C0427008;stiffness
C0242453;prostatism
C0043094;weight gain
C0557875;tired
C0577559;mass of body structure
C0557075;has religious belief
C0027769;nervousness
C0016579;formication
C0600142;hot flush
C0221198;lesion
C0332601;cushingoid facies
C0878661;cushingoid habitus
C0743482;emphysematous change
C0043096;decreased body weight
C0019825;hoarseness
C0205400;thicken
C0233308;spontaneous rupture of membranes
C0032739;mantoux: positive
C0026827;muscle hypotonia
C0241938;hypotonic
C0332575;redness
C0020580;hypesthesia
C0034880;hyperacusis
C1384489;scratch marks
C0234233;sore to touch
C0085624;burning sensation
C0239233;satiety early
C1444773;throbbing sensation quality
C0234215;sensory discomfort
C0009806;constipation
C0000737;pain abdominal
C0018834;heartburn
C0006157;breech presentation
C0010520;cyanosis
C0023222;pain in lower limb
C0018800;cardiomegaly
C0009024;clonus
C0857256;unwell
C0003123;anorexia
C0424533;history of - blackout
C0003126;anosmia
